code,timestamp_started,timestamp_ended,attacker_id,attacker_name,attacker_faction,attacker_factionname,defender_id,defender_name,defender_faction,defender_factionname,result,stealthed,respect,chain,raid,ranked_war,respect_gain,respect_loss,modifiers_fair_fight,modifiers_war,modifiers_retaliation,modifiers_group_attack,modifiers_overseas,modifiers_chain_bonus
6ec425ada8daeacfb7517680569fe4f8,1682149287,1682149291,,,,,2590405,microgeniusz80,44762,The Power Rangers,Attacked,1,3,584,0,1,3,0.75,1.03,2,1,1,1,1.44
2a32b7bd4650563859106c11e08eb823,1682149291,1682149296,2678362,Stewart33,22968,Revolutionary Guerrillas,2731374,young-willy,44762,The Power Rangers,Attacked,0,6.39,585,0,1,6.39,1.6,1.79,2,1,1,1,1.44
2ca79bc0704825b103d14201181d3b27,1682149316,1682149324,2575642,Transhumanist,44762,The Power Rangers,1763067,Somebody,0,,Attacked,0,4.08,2,0,0,4.08,1.02,3,1,1,1,1,1
de9be7eb19b5ca3a52846a7fd6da3989,1682149368,1682149381,2575642,Transhumanist,44762,The Power Rangers,227119,Scott,0,,Attacked,0,4.11,3,0,0,4.11,1.03,3,1,1,1,1,1
dd7f5b898212624665ddf532511fd0c9,1682149378,1682149383,2678362,Stewart33,22968,Revolutionary Guerrillas,2199188,Runite,44762,The Power Rangers,Attacked,0,4.37,586,0,1,4.37,1.09,1.38,2,1,1,1,1.44
4bf8f84dd7f1e0ef995b7b408e2a3c53,1682149383,1682149394,,,,,2879869,BOTViking,44762,The Power Rangers,Attacked,1,3.83,587,0,1,3.83,0.96,1.33,2,1,1,1,1.44
7bd683635acca162684b70d702cc8ca7,1682149461,1682149469,2678362,Stewart33,22968,Revolutionary Guerrillas,2245396,Heathcliffe,44762,The Power Rangers,Attacked,0,4.73,588,0,1,4.73,1.18,1.38,2,1,1,1,1.44
a3ef5ae118d9a8f962fdd53b66df6c60,1682149478,1682149489,,,,,2314829,TheAlbanian,44762,The Power Rangers,Attacked,1,4.86,589,0,1,4.86,1.22,1.52,2,1,1,1,1.44
ee153f5a8b5fd8f163cb3630fd35db3d,1682149565,1682149576,,,,,2684537,mesht,44762,The Power Rangers,Attacked,1,5.52,590,0,1,5.52,1.38,1.79,2,1,1,1,1.44
0fb07bfe759bfd77baa1d5794aca6ce4,1682149656,1682149666,,,,,2832387,Johnny84,44762,The Power Rangers,Attacked,1,5.1,591,0,1,5.1,1.28,1.64,2,1,1,1,1.44
